缺陷类型,文件名,异常标签,峰峰值,峰度,偏度,标准差,方差,最大值,最小值,均值,小波能量,上升沿到峰值的距离,峰值到下降沿的距离,主要频率成分,频谱质心,频谱带宽,频谱熵,瞬时频率,短时能量,小波熵
Normal_Data_Peaks,filtered_Denoised_202503172043_peak1.csv,0,0.018747859188209898,-1.2424522169091405,-0.7111926580266419,0.0031358173012148148,9.833350146598165e-06,0.0105788044917568,-0.0081690546964531,0.0011502720153465855,0.022312951711775327,963,1,0.0,-0.07232958725969102,241.8463669094543,10.25116126441345,18.960270596290247,0.0027891189639719146,0.01869940161169839
Normal_Data_Peaks,filtered_Denoised_202503172044_peak1.csv,0,0.0165112081255827,-1.6709043529500638,0.3775492689023587,0.0032526590570567497,1.0579790941453303e-05,0.0103966951626081,-0.0061145129629746,-0.0004997539848917929,0.021659089973737063,1000,1,3.0,-0.23935767642620925,237.45704419934097,10.24539205835531,17.930139045384188,0.002707386246717132,0.018791387558628234
Normal_Data_Peaks,filtered_Denoised_202503172047_peak1.csv,0,0.0185419137320097,-1.4180356756161718,0.6096262498132693,0.0031701215339104143,1.0049670539762517e-05,0.0102103078221521,-0.0083316059098576,-0.0008577720116867422,0.02157088672759129,1000,4,0.0,-0.23531521675018824,232.9366568985938,10.224071385482132,16.496179878152994,0.0026963608409489095,0.016213893516669783
Normal_Data_Peaks,filtered_Denoised_202503172049_peak1.csv,0,0.0210272674907079,-1.2743321974037953,0.6516619726200998,0.003191652585398845,1.0186646225883132e-05,0.0103431523871963,-0.0106841151035116,-0.0009897918775169958,0.02233266837336352,981,1,0.0,-0.19385942472644752,252.11698229999794,10.18815921314671,17.497001821057683,0.002791583546670438,0.019561657929808983
Normal_Data_Peaks,filtered_Denoised_202503172051_peak1.csv,0,0.0247600425166586,0.3111019716376062,1.273767168122275,0.002855010391725516,8.151084336860685e-06,0.0129944667506574,-0.0117655757660012,-0.001826589686646007,0.022975028440444495,968,1,0.0,-0.027849506517713642,250.09039163797488,10.319633118046601,20.442446452849225,0.0028718785550555606,0.021488029915433457
Normal_Data_Peaks,filtered_Denoised_202503172052_peak1.csv,0,0.0199751918841943,-1.7239290843709092,-0.0647213811289782,0.0033482269300137576,1.1210623574869352e-05,0.0128018180690565,-0.0071733738151378,9.046574687229422e-05,0.02243761525245304,1000,1,2.5,-0.16475639726340457,245.34494716333396,10.174552374834896,13.495848947892267,0.002804701906556629,0.018955409916884686
Normal_Data_Peaks,filtered_Denoised_202503172053_peak1.csv,0,0.0220159549408415,-0.8259095862320391,0.8893296652858081,0.003128308715542429,9.786315419738721e-06,0.0123865542904505,-0.009629400650391,-0.0012279410948689642,0.022588309504413432,993,44,0.0,-0.24649818580796462,223.01482294209143,10.118487550362383,12.99987854855787,0.002823538688051678,0.012549551727292045
Normal_Data_Peaks,filtered_Denoised_202503172053_peak2.csv,0,0.0217968641797905,-0.6641824810929227,0.45306578039836637,0.0027951619161479552,7.81293013748391e-06,0.0102970703637587,-0.0114997938160318,-0.0004709140349746043,0.016069380331639953,994,1,2.5,-0.19699610119624658,242.61648275262797,10.184184349371126,27.97273071174754,0.002008672541454993,0.013927943128510253
Normal_Data_Peaks,filtered_Denoised_202503172054_peak1.csv,0,0.0178075809797801,-1.5396493918298162,-0.3750270353336531,0.0033718695251954848,1.1369504094942023e-05,0.0102774282926405,-0.0075301526871396,0.000815036279565072,0.024067576463898607,986,1,0.0,-0.052883396030250746,240.74564640771305,10.247389735103692,19.443610656765934,0.0030084470579873246,0.02051086665394457
Normal_Data_Peaks,filtered_Denoised_202503172055_peak1.csv,0,0.0191200611855416,-1.2509003512223529,0.6634729251821608,0.003302463445763595,1.0906264810604758e-05,0.0113408169019975,-0.0077792442835441,-0.0009388620579358221,0.023575453548872503,908,1,0.0,-0.32121821935115935,234.1485814659288,10.115625650468967,12.503322453221818,0.0029469316936090615,0.015770114206451517
Normal_Data_Peaks,filtered_Denoised_202503172056_peak1.csv,0,0.0176640150927977,-1.7350267440509335,0.39114759355917617,0.0031717402290081073,1.00599360803084e-05,0.0101541630398682,-0.0075098520529295,-0.0005907661073497273,0.020817881347803116,1000,1,6.5,-0.2684589795855956,231.9139972573048,10.053102294558766,10.934734169039736,0.0026022351684753878,0.011895669723889592
Normal_Data_Peaks,filtered_Denoised_202503172057_peak1.csv,0,0.0198916603197484,0.03971521232969977,1.2585290765338057,0.0028338912167519144,8.030939428383645e-06,0.0125212384482895,-0.0073704218714589,-0.0018091330794142762,0.022607803854829266,900,1,0.0,-0.54757243623422,249.97580080561272,10.204104886028205,13.005044909613332,0.002825975481853657,0.017946775298756972
Normal_Data_Peaks,filtered_Denoised_202503172057_peak2.csv,0,0.0175671291265843,-1.7971859630150566,-0.28331461882504766,0.0032566042831453854,1.060547145700087e-05,0.0101096384073807,-0.0074574907192036,0.0005138343583934229,0.021738994409732912,998,1,0.5,-0.036931380539694955,230.65732563965412,10.032562774940963,10.45033455161752,0.002717374301216612,0.01004218942645148
Normal_Data_Peaks,filtered_Denoised_202503172059_peak1.csv,0,0.0214774312934291,-1.252660988156177,0.6148453880221459,0.0033479276083888338,1.1208619271012178e-05,0.0109275184072686,-0.0105499128861605,-0.0011190112159880806,0.0249216107450386,1000,2,0.0,-0.03919529650116994,238.49442642640855,10.163923545365579,13.445563453983333,0.0031152013431298246,0.019383969615283683
