,0
peak_to_peak,0.060517777295234366
kurtosis,3.554454171611857
skewness,0.5325855742314206
std_dev,0.008231482860001397
variance,6.775731007449678e-05
max_value,0.034068708010582205
min_value,-0.02644906928465216
mean_value,-0.0006113481384899601
wavelet_energy,0.13626211324186388
rise_time,999.0
fall_time,20.0
main_freq,14.0
spectral_centroid,-0.04109979638852431
spectral_bandwidth,162.55790220374826
spectral_entropy,9.167469760230851
mean_instantaneous_frequency,17.918578174170296
mean_short_time_energy,0.01703276415523298
wavelet_entropy,0.012992622304473211
