,0,1
peak_to_peak,0.17592433388176681,0.12690780702912907
kurtosis,6.574922964545084,8.29619108421036
skewness,-0.5867112101651154,-0.7447573301406769
std_dev,0.015086203724896887,0.010250086617867046
variance,0.0002275935428290927,0.00010506427567377708
max_value,0.07141090763592806,0.05055249216415251
min_value,-0.10451342624583874,-0.07635531486497657
mean_value,-0.00016171898947603224,-1.8061206770005056e-06
wavelet_energy,0.45523939172129985,0.21012855787169812
rise_time,987.0,297.0
fall_time,2.0,21.0
main_freq,18.5,20.0
spectral_centroid,-0.03140734967006914,-0.03316701926507096
spectral_bandwidth,167.76978219645636,162.12057636903276
spectral_entropy,10.003738365296114,9.793407941983293
mean_instantaneous_frequency,22.9693543810488,17.44618630424005
mean_short_time_energy,0.05690492396516246,0.026266069733962248
wavelet_entropy,0.22614482015891746,0.05783672420362858
