,0
peak_to_peak,0.22264935723373264
kurtosis,8.542614021020913
skewness,-0.22783784457608547
std_dev,0.019628733660189336
variance,0.0003852871851026498
max_value,0.0889329900363539
min_value,-0.13371636719737873
mean_value,-0.0008898771116432006
wavelet_energy,0.7721581327529529
rise_time,767.0
fall_time,15.0
main_freq,16.0
spectral_centroid,-0.027221113788588294
spectral_bandwidth,106.99390897141295
spectral_entropy,8.75494890161696
mean_instantaneous_frequency,15.445902548434224
mean_short_time_energy,0.09651976659411907
wavelet_entropy,0.045509279406989525
