,0,1,2,3
peak_to_peak,0.07630428376409006,0.05023654558528423,0.07523616365081173,0.10508171665071721
kurtosis,3.893489232795468,1.6398964952546624,8.36060364797936,7.9459968918731585
skewness,-0.8333136343619388,-0.1798244932167729,0.6334652196319267,0.20730744974725882
std_dev,0.00788169943051647,0.006251010070029296,0.005948194681465998,0.008895682836159513
variance,6.212118591300364e-05,3.9075126895607663e-05,3.538101996862038e-05,7.913317312154297e-05
max_value,0.028621858070660047,0.019738858773461126,0.04687664172194634,0.05748807327264356
min_value,-0.04768242569343001,-0.03049768681182311,-0.028359521928865396,-0.04759364337807365
mean_value,-0.0006558838244449663,-0.0014275224774878063,0.0011936619383106808,0.0009087984377126122
wavelet_energy,0.12510273900834445,0.0822258946386812,0.073611697583184,0.1599181754438638
rise_time,988.0,124.0,817.0,785.0
fall_time,2.0,13.0,3.0,3.0
main_freq,16.5,16.5,0.0,14.5
spectral_centroid,-0.019184369767835805,-0.05268651434174852,-0.19367173611091854,-0.06896895800631417
spectral_bandwidth,172.09091627141285,187.16030785761717,174.68394997877508,159.6501896469561
spectral_entropy,9.979392142674056,9.966729512606722,9.82761613559714,9.708545790939677
mean_instantaneous_frequency,15.90636376943583,16.988406555213913,15.455226465080424,20.006675107408505
mean_short_time_energy,0.01563784237604305,0.010278236829835146,0.009201462197897995,0.019989771930482965
wavelet_entropy,0.05457109220374133,0.03446119630563762,0.02277778080761947,0.038456331629311474
