,0,1,2
peak_to_peak,0.033868646876831346,0.04331105682569093,0.06004025638456165
kurtosis,0.9330887403753816,1.7252001057737374,3.0309190441044214
skewness,-0.20694944259834275,-0.8218514874815342,0.4785793317547295
std_dev,0.004568288554623919,0.006397710125748347,0.0070058048400475385
variance,2.0869260318307894e-05,4.093069485310293e-05,4.9081301456833515e-05
max_value,0.020114984476369002,0.018672243304424112,0.03062016986556328
min_value,-0.013753662400462347,-0.024638813521266817,-0.02942008651899837
mean_value,0.0010857504078635178,0.0007436981309483983,-0.0008860754740039489
wavelet_energy,0.04409622853296741,0.0829675635261582,0.09973286240492973
rise_time,1000.0,1000.0,929.0
fall_time,14.0,18.0,19.0
main_freq,0.0,16.0,16.0
spectral_centroid,-0.04480354044784708,-0.07821468117807669,-0.10908374314500867
spectral_bandwidth,190.67061069558588,167.22105628344323,161.0848645729007
spectral_entropy,9.816032110528354,9.272860122281891,9.304034814624472
mean_instantaneous_frequency,17.512132315911003,13.020333099109738,12.358365072039492
mean_short_time_energy,0.0055120285666209225,0.010370945440769767,0.01246660780061621
wavelet_entropy,0.0134987553553813,0.009345271640578412,0.012782613214380463
